epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67538,1.82165,3.05888,1.56211,0.02165,0.65217,0.30401,0.19134,1.45397,3.13186,1.0179,1.667e-05,1.667e-05,1.667e-05
2,5.16464,1.56552,2.97073,1.4234,0.02011,0.63043,0.49115,0.3211,1.41633,3.13782,1.004,4.90198e-05,4.90198e-05,4.90198e-05
3,7.34977,1.63087,2.89013,1.52917,0.01878,0.6087,0.54251,0.37464,1.40177,3.13722,0.99178,8.00493e-05,8.00493e-05,8.00493e-05
4,9.57699,1.63583,2.91959,1.49538,0.01901,0.6087,0.5419,0.37091,1.42797,3.13319,0.9947,0.000109759,0.000109759,0.000109759
5,11.7152,1.56457,2.94492,1.37348,0.01899,0.6087,0.54051,0.40296,1.44296,3.11026,0.99147,0.000138148,0.000138148,0.000138148
6,13.8506,1.8225,2.91256,1.55498,0.01899,0.6087,0.54051,0.40296,1.44296,3.11026,0.99147,0.000165216,0.000165216,0.000165216
7,16.4965,1.32957,2.72692,1.26442,0.01906,0.6087,0.54493,0.43576,1.40749,3.10388,0.99153,0.000190965,0.000190965,0.000190965
8,19.8088,1.39608,2.70721,1.26402,0.02914,0.76087,0.5673,0.45839,1.38435,3.1285,1.0263,0.000215393,0.000215393,0.000215393
9,22.8404,1.58542,2.75361,1.31761,0.02914,0.76087,0.5673,0.45839,1.38435,3.1285,1.0263,0.000238501,0.000238501,0.000238501
10,25.933,1.4716,2.71202,1.31768,0.02771,0.73913,0.56659,0.45067,1.37038,3.16365,1.06229,0.000260289,0.000260289,0.000260289
11,30.1399,1.39949,2.51978,1.40172,0.02771,0.73913,0.56659,0.45067,1.37038,3.16365,1.06229,0.000280756,0.000280756,0.000280756
12,33.6538,1.26929,2.51673,1.2519,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.000299903,0.000299903,0.000299903
13,36.7991,1.3837,2.39161,1.33742,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.00031773,0.00031773,0.00031773
14,40.0162,1.43036,2.43533,1.24317,0.02625,0.71739,0.56894,0.43657,1.45579,3.14884,1.10944,0.000334237,0.000334237,0.000334237
15,43.5892,1.42735,2.46082,1.26359,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000349423,0.000349423,0.000349423
16,46.9206,1.39369,2.34032,1.31532,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000363289,0.000363289,0.000363289
17,50.0744,1.41263,2.27925,1.21903,0.02914,0.76087,0.57197,0.44429,1.4418,3.11454,1.1271,0.000375835,0.000375835,0.000375835
18,53.3376,1.30172,2.24741,1.23302,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000387061,0.000387061,0.000387061
19,57.1472,1.49599,2.22174,1.24315,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000396966,0.000396966,0.000396966
20,60.4714,1.14199,2.09929,1.15283,0.03056,0.78261,0.558,0.41304,1.42079,3.06582,1.13358,0.000405551,0.000405551,0.000405551
21,63.9106,1.32083,2.23618,1.26168,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000412816,0.000412816,0.000412816
22,67.6548,1.30736,2.13624,1.27436,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.00041876,0.00041876,0.00041876
23,71.4269,1.27077,1.99868,1.12998,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000423385,0.000423385,0.000423385
24,75.0089,1.33878,2.26195,1.18289,0.02775,0.73913,0.55279,0.42224,1.44712,2.98716,1.13982,0.000426689,0.000426689,0.000426689
