epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45631,1.77316,3.14047,1.41124,0.02013,1,0.46179,0.30199,1.10722,2.79021,0.93501,1.667e-05,1.667e-05,1.667e-05
2,10.2891,1.78695,3.19041,1.47274,0.02151,1,0.885,0.58667,1.00647,2.7966,0.89398,4.90198e-05,4.90198e-05,4.90198e-05
3,15.0244,1.63622,3.20246,1.3608,0.02206,1,0.995,0.70248,0.89244,2.79358,0.86106,8.00493e-05,8.00493e-05,8.00493e-05
4,20.0343,1.58745,3.12935,1.35079,0.02344,1,0.995,0.69412,0.7427,2.78772,0.81708,0.000109759,0.000109759,0.000109759
5,25.0147,1.62547,3.06215,1.33083,0.02299,1,0.995,0.7852,0.65488,2.77455,0.79263,0.000138148,0.000138148,0.000138148
6,30.3173,1.41693,2.82627,1.1816,0.02299,1,0.995,0.7852,0.65488,2.77455,0.79263,0.000165216,0.000165216,0.000165216
7,35.661,1.48451,2.88108,1.19052,0.02353,1,0.995,0.79979,0.61238,2.75335,0.78281,0.000190965,0.000190965,0.000190965
8,40.325,1.293,2.73212,1.19982,0.02429,1,0.995,0.84353,0.55877,2.73915,0.78468,0.000215393,0.000215393,0.000215393
9,44.7173,1.46829,2.59848,1.28622,0.02429,1,0.995,0.84353,0.55877,2.73915,0.78468,0.000238501,0.000238501,0.000238501
10,49.0097,1.51305,2.71942,1.29174,0.02532,1,0.995,0.84887,0.56511,2.71152,0.80122,0.000260289,0.000260289,0.000260289
11,53.9893,1.48388,2.61803,1.2222,0.02532,1,0.995,0.84887,0.56511,2.71152,0.80122,0.000280756,0.000280756,0.000280756
12,60.6016,1.62255,2.59239,1.291,0.0241,1,0.995,0.83585,0.61531,2.667,0.83358,0.000299903,0.000299903,0.000299903
13,65.811,1.48149,2.31939,1.30133,0.0241,1,0.995,0.83585,0.61531,2.667,0.83358,0.00031773,0.00031773,0.00031773
14,70.5627,1.56644,2.52738,1.35438,0.0241,1,0.995,0.83585,0.61531,2.667,0.83358,0.000334237,0.000334237,0.000334237
15,75.5074,1.38029,2.29245,1.22109,0.02372,1,0.995,0.78334,0.63388,2.61973,0.83648,0.000349423,0.000349423,0.000349423
16,80.0627,1.43262,2.34114,1.17574,0.02372,1,0.995,0.78334,0.63388,2.61973,0.83648,0.000363289,0.000363289,0.000363289
17,84.6788,1.37836,2.29114,1.21464,0.02372,1,0.995,0.78334,0.63388,2.61973,0.83648,0.000375835,0.000375835,0.000375835
18,89.3097,1.45837,2.25564,1.19718,0.02256,1,0.995,0.73295,0.70619,2.53738,0.85081,0.000387061,0.000387061,0.000387061
19,93.624,1.45951,2.15032,1.18398,0.02256,1,0.995,0.73295,0.70619,2.53738,0.85081,0.000396966,0.000396966,0.000396966
20,97.6442,1.51038,2.16342,1.20146,0.02256,1,0.995,0.73295,0.70619,2.53738,0.85081,0.000405551,0.000405551,0.000405551
21,101.439,1.57475,2.27712,1.22633,0.02256,1,0.995,0.71443,0.73604,2.42094,0.86776,0.000412816,0.000412816,0.000412816
22,105.801,1.37137,2.07517,1.24155,0.02256,1,0.995,0.71443,0.73604,2.42094,0.86776,0.00041876,0.00041876,0.00041876
23,110.075,1.35169,2.15208,1.17721,0.02256,1,0.995,0.71443,0.73604,2.42094,0.86776,0.000423385,0.000423385,0.000423385
24,114.595,1.52575,2.05781,1.30988,0.02256,1,0.995,0.71443,0.73604,2.42094,0.86776,0.000426689,0.000426689,0.000426689
25,118.914,1.39642,2.02302,1.17742,0.02222,1,0.995,0.7168,0.75366,2.29445,0.83257,0.000428672,0.000428672,0.000428672
26,124.152,1.43201,1.97847,1.16339,0.02222,1,0.995,0.7168,0.75366,2.29445,0.83257,0.000429336,0.000429336,0.000429336
27,128.803,1.36541,1.98499,1.15659,0.02222,1,0.995,0.7168,0.75366,2.29445,0.83257,0.000428679,0.000428679,0.000428679
28,133.287,1.46433,1.97431,1.20696,0.02222,1,0.995,0.7168,0.75366,2.29445,0.83257,0.000426702,0.000426702,0.000426702
29,138.106,1.23719,1.87019,1.0815,0.02222,1,0.995,0.7168,0.75366,2.29445,0.83257,0.000423405,0.000423405,0.000423405
30,142.955,1.28228,1.87953,1.15194,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000418787,0.000418787,0.000418787
31,147.939,1.18572,1.86937,1.16836,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000412849,0.000412849,0.000412849
32,153.107,1.17359,1.89062,1.15874,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000405591,0.000405591,0.000405591
33,158.114,1.39969,1.97135,1.28957,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000397013,0.000397013,0.000397013
34,163.033,1.24362,1.68752,1.11803,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000387114,0.000387114,0.000387114
35,167.684,1.25903,1.84058,1.13613,0.0283,1,0.995,0.78597,0.76437,2.12642,0.81188,0.000375895,0.000375895,0.000375895
36,172.215,1.36324,1.70377,1.20462,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000363356,0.000363356,0.000363356
37,176.424,1.35116,1.7049,1.10048,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000349497,0.000349497,0.000349497
38,180.563,1.34123,1.68756,1.20469,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000334317,0.000334317,0.000334317
39,184.803,1.28799,1.71661,1.20603,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000317817,0.000317817,0.000317817
40,189.159,1.46226,1.85313,1.15461,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000299997,0.000299997,0.000299997
41,192.864,1.37364,1.56011,1.17855,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000280856,0.000280856,0.000280856
42,196.765,1.313,1.50245,1.11965,0.99987,1,0.995,0.80181,0.80429,1.95496,0.86449,0.000260395,0.000260395,0.000260395
43,200.181,1.32692,1.79393,1.18468,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.000238614,0.000238614,0.000238614
44,203.519,1.2915,1.51464,1.16227,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.000215513,0.000215513,0.000215513
45,207.424,1.24373,1.42175,1.10429,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.000191092,0.000191092,0.000191092
46,211.748,1.3297,1.6119,1.19526,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.00016535,0.00016535,0.00016535
47,215.858,1.23102,1.44506,1.05938,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.000138288,0.000138288,0.000138288
48,220.06,1.27231,1.64329,1.15515,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,0.000109905,0.000109905,0.000109905
49,224.281,1.41688,1.61666,1.1845,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,8.02027e-05,8.02027e-05,8.02027e-05
50,228.719,1.33911,1.50105,1.12732,0.97035,1,0.995,0.75512,0.82632,1.84605,0.92314,4.91798e-05,4.91798e-05,4.91798e-05
